clean_date	Bush, Jeb	Carson, Benjamin S.	Christie, Christopher J.	Clinton, Hillary Rodham	Cruz, Rafael Edward 'Ted'	Fiorina, Carly	Graham, Lindsey O.	Huckabee, Mike	Jindal, Bobby	Johnson, Gary	Kasich, John R.	Lessig, Lawrence	O'Malley, Martin Joseph	Pataki, George E.	Paul, Rand	Perry, James R. (Rick)	Rubio, Marco	Sanders, Bernard	Santorum, Richard J.	Stein, Jill	Trump, Donald J.	Walker, Scott	Webb, James Henry Jr.
2014-09															3600.0								
2014-11																							1000.0
2014-12															4000.0								2600.0
2015-01															100.0								
2015-02							9250.0																
2015-03		4250.0			1300.0		23000.0								500.0								
2015-04		5325.0		209840.48	10858.0		1500.0								9104.02		21578.05						1250.0
2015-05		9190.0		285045.36	3815.0	3450.0		250.0					100.0	1000.0	6631.51		19546.0	3573.0	2000.0				2700.0
2015-06	534150.0	8475.0		327722.54	6974.0	11350.0	24100.0	2850.0	2700.0				20200.0	3450.0	9373.14	3000.0	39422.0	-1608.35		850.0	500.0	12300.0	
2015-07	130650.0	7747.48	25330.0	59854.22	8768.0	4525.0	7800.0				1000.0		2700.0	1000.0	-900.2		878.0	18497.99	500.0	500.0	1000.0	75101.0	550.0
2015-08	81350.0	20063.0	10940.38	77229.11	22317.0	18200.0	325.0	872.5			22300.0	9900.0	3200.0	2500.0	1318.07		7547.0	31904.92	520.16	1825.0	6900.0	8900.0	
2015-09	94300.0	26109.28	70929.62	154894.02	32630.0	23663.0	17475.0	1000.0			5016.0	7625.0	12200.0	6400.0	8072.27		51556.0	51820.48	955.63		1923.6	9120.0	300.0
2015-10	132547.0	19144.6	28300.0	252260.36	7405.0	11411.0	4710.0	250.0			15450.0		5975.0	250.0	2595.61		50798.8	41535.75	560.0		4048.98		1259.0
2015-11	53378.0	17696.0	68900.0	74564.32	19243.0	2000.95	1525.0	530.0			21500.0		5475.0		8849.55		109651.0	25021.47	560.0	150.0	1243.44	-9850.0	
2015-12	43511.0	14269.32	20425.0	136114.82	38229.5	4145.0	1250.0	500.0			19857.0		1400.0		5222.12		125520.0	71087.17	260.0		1378.71	200.0	
2016-01	20886.0	12012.16	11425.0	227752.98	21113.0	4585.0	-5100.0	25.0		1000.0	10817.0		350.0		4102.4		35129.0	120739.62	20.16	100.0	-95.38	100.0	500.0
2016-02	2.0	20571.11	13275.0	392386.37	46596.5	1309.0	0.0	116.0		700.0	49042.0		250.0		662.67		95523.01	247353.79	100.0	650.0	3352.57	5900.0	
2016-03		3409.0		575036.77	62297.0		2700.0			1575.0	105489.0						16276.0	313052.11	250.0	70.0	7173.63		
2016-04		-1800.0		598449.13	57659.54					593.7	122181.0		2700.0				-354.0	210088.49		145.0	3636.14	5400.0	
2016-05				239115.75	16427.95					3350.0	1926.0						-48483.05	151719.5		954.0	14231.01	500.0	
