,candidate,count,contb_receipt_amt
0,"Sanders, Bernard",29906,1284785.94
1,"Clinton, Hillary Rodham",13981,3610266.23
2,"Cruz, Rafael Edward 'Ted'",3411,355633.49
3,"Carson, Benjamin S.",1786,166461.95
4,"Rubio, Marco",1252,524587.81
5,"Bush, Jeb",700,1090774.0
6,"Kasich, John R.",613,374578.0
7,"Paul, Rand",388,63231.16
8,"Fiorina, Carly",294,84638.95
9,"Trump, Donald J.",180,45292.7
10,"Christie, Christopher J.",138,249525.0
11,"Walker, Scott",120,107671.0
12,"Graham, Lindsey O.",81,88535.0
13,"O'Malley, Martin Joseph",44,54550.0
14,"Santorum, Richard J.",30,5725.95
15,"Stein, Jill",30,5244.0
16,"Lessig, Lawrence",24,17525.0
17,"Johnson, Gary",22,7218.7
18,"Huckabee, Mike",19,6393.5
19,"Webb, James Henry Jr.",14,10159.0
20,"Pataki, George E.",9,14600.0
21,"Perry, James R. (Rick)",3,3000.0
22,"Jindal, Bobby",1,2700.0
